_id,DatGeracaoConjuntoDados,IdcSituacaoProjeto,DscCodProjeto,NomAgente,SigAgente,NumCPFCNPJ,DscChamPEDEstrategico,DscTituloProjeto,QtdMesesDuracaoPrevista,SigSegmentoSetorEletrico,SigTemaProjeto,SigFasInovacaoProjeto,SigTipoProdutoProjeto,VlrCustoTotalPrevisto,AnoCadastroPropostaProjeto,DatConclusaoProjeto,VlrCustoTotalAuditado
1,2025-05-01,EM ATRASO,PD-00026-0113,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Sistema Sinalizador de Falhas de Isoladores em Estruturas de Média e Alta Tensão utilizando ultrassom e radiofrequência de baixo custo,24,D,MF,DE,CD,850336,2013,,
2,2025-05-01,EM ATRASO,PD-00026-0111,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Estudo para o desenvolvimento de um controle PWM para sistemas solares fotovoltaicos conectados à rede,24,D,FA,DE,CD,318250,2017,,
3,2025-05-01,CONCLUÍDO,PD-00026-1913,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Modelo de operação otimizado para microssistema isolado de geração e distribuição de energia elétrica em região remota.,60,G,FA,CS,SM,"14379261,5",2019,2024-12-16,"21846377,82"
4,2025-05-01,EM ATRASO,PD-00026-2013,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,,31,,,,,,2013,,
5,2025-05-01,EM ATRASO,PD-00026-0001,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,,,,,,,,2018,,
6,2025-05-01,EM ATRASO,PD-00026-0116,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,SARA - Sistema remoto de análise contínua do estado operacional de equipamentos de alta tensão através do monitoramento do óleo isolante via Impedância Elétrica em Rádio Freqüência,30,D,SC,DE,ME,2306882,2016,,
7,2025-05-01,CONCLUÍDO,PD-00026-0211,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Planejamento de recursos operativos para o alcance de metas de indicadores de continuidade na rede de distribuição usando modelos de otimização com base na simulação estocástica de eventos discretos,25,D,OP,PA,CM,733840,2011,2015-07-14,"702336,48"
8,2025-05-01,EM ATRASO,PD-00026-0311,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Desenvolvimento de tecnologia para a priorização de planos de expansão do sistema de alta e média tensão,37,D,PL,DE,SW,,2011,,
9,2025-05-01,CANCELADO,PD-00026-0411,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,Sistema Piloto de Gerenciamento Remoto de Consumidores Monofásicos - SISGERM,18,D,SC,DE,SM,"445454,1",2011,,
10,2025-05-01,CANCELADO,PD-00026-0002,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,EAC,04065033000170,,PA - Modelo de Otimização Conjunta de Perdas Técnicas e Não Técnicas,18,D,EE,PA,SW,89634,2010,,
11,2025-05-01,EM ATRASO,PD-00031-0001,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,Ferramenta Computacional de Alocação Ótima de Dispositivos de Proteção e de Manobra em Redes de Distribuição de Energia Elétrica,36,D,SC,PA,SW,709500,2015,,
12,2025-05-01,EM ATRASO,PD-00031-0002,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,"Ferramenta de Alocação e Dimensionamento Ótimo de Banco de Capacitores, em redes de distribuição de energia elétrica, sob restrições de ressonância harmônica.",36,D,SC,PA,SW,746350,2015,,
13,2025-05-01,EM ATRASO,PD-00031-0003,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,"Sistema remoto de monitoramento de pontos quentes em conexões elétricas, utilizando sensores ópticos.",36,D,OP,PA,ME,359310,2015,,
14,2025-05-01,EM ATRASO,PD-00031-0004,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,"Sistema para balanceamento automático de carga em tempo real, para redes de distribuição de baixa tensão.",24,D,OP,DE,CD,363242,2015,,
15,2025-05-01,EM EXECUÇÃO,PD-00031-0006,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,Eletrificação e digitalização da operação remota de equipamentos para garantir qualidade da água em estação de tratamento através de coleta com dispositivo autônomo,24,D,SC,LP,CD,"2993571,7",2024,,
16,2025-05-01,EM ATRASO,PD-00031-0005,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,CEA,05965546000109,,Sistema IOT- Cloud de Medição Centralizada de Energia Voltado à Rede da CEA.,60,D,SC,DE,CD,"2500000,08",2018,,
17,2025-05-01,EM ATRASO,PD-00032-2308,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,Sistemas de distribuição do futuro (DSO) no contexto brasileiro,17,D,PL,PA,CM,"1823558,77",2023,,
18,2025-05-01,EM ATRASO,PD-00032-2307,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,VHF Power,17,D,SC,DE,CD,3239875,2023,,
19,2025-05-01,EM EXECUÇÃO,PD-00032-2313,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,Mapas de percepção de riscos em furtos/fraudes de energia elétrica em ambientes complexos da área de concessão,24,D,MF,PA,CM,3500000,2023,,
20,2025-05-01,CONCLUÍDO,PD-00032-1704,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,SIDEC - Sistema Inteligente para Dimensionamento de Equipes de Campo,60,D,PL,PA,SW,"3683902,56",2017,2023-09-13,"4025351,12"
21,2025-05-01,EM EXECUÇÃO,PD-00032-2204,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,Desenvolvimento de sistema de geração fotovoltaica e armazenamento de energia considerando-se a utilização de serviços ancilares para melhoria da qualidade da energia elétrica em redes de distribuição,36,D,QC,PA,SM,16932732,2022,,
22,2025-05-01,EM ATRASO,PD-00032-0002,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,ETO,25086034000171,,"Um novo dispositivo eletromagnético destinado à regulação de tensão: concepção, modelagem, projeto, construção e avaliação de desempenho",24,D,QC,DE,ME,2232925,2012,,
